epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1101.33,0.93851,0.66049,0.97223,0.87673,0.82169,0.87414,0.62753,0.90662,0.65171,1.04717,0.00076482,0.00076482,0.00076482
43,1125.44,0.98036,0.64797,0.95324,0.8901,0.81844,0.87993,0.61911,0.91028,0.65178,1.04484,0.000742815,0.000742815,0.000742815
44,1149.26,0.97308,0.65413,0.9648,0.87235,0.85828,0.88147,0.6358,0.87031,0.60733,1.02285,0.000720811,0.000720811,0.000720811
45,1174.04,0.93102,0.64107,0.96462,0.82096,0.85044,0.86154,0.63252,0.88662,0.62301,1.03291,0.000698806,0.000698806,0.000698806
46,1198.46,0.93585,0.6794,0.96865,0.82728,0.83508,0.85997,0.63076,0.9038,0.62714,1.03339,0.000676802,0.000676802,0.000676802
47,1223.5,0.97157,0.65976,0.98113,0.85837,0.82415,0.8559,0.59362,0.93309,0.63442,1.02477,0.000654798,0.000654798,0.000654798
48,1248.67,0.90814,0.61973,0.95022,0.84269,0.81767,0.86171,0.59187,0.93075,0.61236,1.04527,0.000632793,0.000632793,0.000632793
49,1274.15,0.97536,0.79667,0.99314,0.8814,0.82711,0.87484,0.60216,0.95364,0.61312,1.05244,0.000610789,0.000610789,0.000610789
50,1300.61,0.99381,0.67725,0.99716,0.86484,0.79881,0.86581,0.61336,0.89703,0.62984,1.02201,0.000588784,0.000588784,0.000588784
51,1327.65,0.91702,0.63515,0.99268,0.84894,0.80824,0.86482,0.61282,0.88912,0.6253,1.01676,0.00056678,0.00056678,0.00056678
52,1356,0.86452,0.59585,0.92048,0.86619,0.83991,0.89314,0.64489,0.84346,0.60123,1.00106,0.000544776,0.000544776,0.000544776
53,1384.22,0.90238,0.61416,0.9603,0.85863,0.87505,0.90217,0.65532,0.82287,0.57499,0.99782,0.000522771,0.000522771,0.000522771
54,1411.66,0.90902,0.63103,0.9429,0.89974,0.85373,0.89996,0.64954,0.83541,0.57041,1.01095,0.000500767,0.000500767,0.000500767
55,1438.97,0.91046,0.60706,0.94284,0.89809,0.84661,0.8986,0.66113,0.82694,0.55667,1.01928,0.000478762,0.000478762,0.000478762
56,1466.48,0.88147,0.57223,0.94122,0.90959,0.88448,0.91241,0.65444,0.84267,0.56805,1.01072,0.000456758,0.000456758,0.000456758
57,1493.95,0.89126,0.61312,0.94742,0.87305,0.87497,0.89277,0.65625,0.84772,0.55992,1.00951,0.000434754,0.000434754,0.000434754
58,1521.51,0.90819,0.61032,0.95171,0.90975,0.87505,0.91102,0.65639,0.87182,0.5446,1.01615,0.000412749,0.000412749,0.000412749
59,1549.15,0.86317,0.61481,0.95972,0.86602,0.86561,0.9058,0.65824,0.8434,0.54083,1.00782,0.000390745,0.000390745,0.000390745
60,1576.19,0.80919,0.57217,0.91887,0.85715,0.87505,0.89496,0.65678,0.84453,0.53304,1.0001,0.00036874,0.00036874,0.00036874
61,1602.13,0.86063,0.58884,0.91921,0.8918,0.88448,0.89549,0.65714,0.84766,0.52191,0.99869,0.000346736,0.000346736,0.000346736
62,1627.12,0.90293,0.59912,0.93512,0.90202,0.87505,0.89836,0.66333,0.85896,0.53469,1.01166,0.000324732,0.000324732,0.000324732
63,1653.42,0.84506,0.56115,0.9325,0.88131,0.87505,0.89759,0.66139,0.82265,0.54142,1.00339,0.000302727,0.000302727,0.000302727
64,1678.97,0.87381,0.617,0.92709,0.8778,0.85618,0.89577,0.65566,0.81519,0.54639,0.99837,0.000280723,0.000280723,0.000280723
65,1704.4,0.86612,0.59495,0.91889,0.87359,0.86561,0.9054,0.65695,0.84646,0.54924,1.00946,0.000258718,0.000258718,0.000258718
66,1738.57,0.80648,0.55727,0.89545,0.83726,0.87974,0.89471,0.64088,0.8748,0.5517,1.01362,0.000236714,0.000236714,0.000236714
67,1763.52,0.83316,0.57879,0.90424,0.85453,0.88109,0.89635,0.65575,0.86046,0.54581,1.01762,0.00021471,0.00021471,0.00021471
68,1787.01,0.81635,0.54016,0.90289,0.88163,0.88561,0.91389,0.66137,0.84415,0.54346,1.00886,0.000192705,0.000192705,0.000192705
69,1810.52,0.83606,0.54784,0.91421,0.92025,0.87505,0.91499,0.67488,0.84054,0.54236,0.99339,0.000170701,0.000170701,0.000170701
70,1834.8,0.79241,0.53204,0.89479,0.89429,0.88776,0.91624,0.67038,0.84777,0.53021,0.99634,0.000148696,0.000148696,0.000148696
71,1858.49,0.80508,0.5401,0.89882,0.90177,0.89226,0.91695,0.66671,0.85418,0.52854,1.00246,0.000126692,0.000126692,0.000126692
72,1882.83,0.76133,0.52297,0.89142,0.90128,0.89685,0.9158,0.6569,0.86085,0.52983,1.00946,0.000104688,0.000104688,0.000104688
73,1908.69,0.79681,0.50151,0.88804,0.89129,0.88789,0.91765,0.65793,0.86182,0.52554,1.00937,8.26832e-05,8.26832e-05,8.26832e-05
74,1934.53,0.76852,0.50132,0.88714,0.90115,0.87566,0.91489,0.65424,0.85838,0.52054,1.00538,6.06788e-05,6.06788e-05,6.06788e-05
75,1959.2,0.74099,0.50029,0.87778,0.89817,0.87127,0.91417,0.65527,0.85282,0.51897,1.0023,3.86744e-05,3.86744e-05,3.86744e-05
